współrzędne,data sentinel,region,identyfikator działki,uwagi
"50.205773248396554, 18.566558319656636",2020-04-12,śląskie,240504_2.0005.AR_1.726/307,
"50.20268524766594, 18.561080258063363",2020-04-12,śląskie,240504_2.0005.AR_11.151/27,
"50.21257299922623, 18.52189381020579",2020-04-12,śląskie,240504_2.0006.AR_3.290/60,
"50.215568946930524, 18.48231060429019",2020-04-12,śląskie,240506_5.0001.AR_11.41,
"50.19742850059551, 18.421318037047218",2020-04-12,śląskie,241105_5.0005.AR_3.499/2,
"50.570400976199466, 19.48537509687917",2020-04-12,śląskie,241609_2.0006.AR_7.1091,
"50.55865782132526, 19.46632778481047",2020-04-12,śląskie,241609_2.0008.AR_1.25,
"50.571328178407015, 19.525359943146647",2020-04-12,śląskie,241604_2.0008.AR_3.336,
"50.56989059843099, 19.53667005195245",2020-04-12,śląskie,241604_2.0008.AR_15.1854/6,
"50.20172121774582, 18.581408306999734",2020-04-12,śląskie,240504_2.0007.AR_9.75/2,
"53.976373315561474, 23.067859730879054",2020-05-14,warmińsko-mazurskie,200105_2.0025.AR_1.153/1,
"53.970919911811315, 23.051008446094986",2020-05-14,warmińsko-mazurskie,200105_2.0025.AR_1.17/8,
"53.98077635744532, 23.05275619564188",2020-05-14,warmińsko-mazurskie,200105_2.0025.AR_1.28,
"53.96510895115113, 23.08110163755249",2020-05-14,warmińsko-mazurskie,200105_2.0025.AR_1.424/2,
"53.96280070916206, 23.111776508986253",2020-05-14,warmińsko-mazurskie,200105_2.0005.AR_1.9/2,
"53.184867274474136, 23.02600123048048
",2020-05-14,warmińsko-mazurskie,200203_2.0003.886,
"53.19350710744194, 23.024155870415015",2020-05-14,warmińsko-mazurskie,200203_2.0003.886,
"53.20435586005427, 23.04076410865452",2020-05-14,warmińsko-mazurskie,200203_2.0004.AR_1.15/1,
"53.20715757979922, 23.04108597379222",2020-05-14,warmińsko-mazurskie,200203_2.0004.AR_1.12/1,
"53.157556940964206, 22.958843197955133",2020-05-14,warmińsko-mazurskie,200201_4.0031.AR_4.93/1,
"53.150058425831055, 22.934466347091153",2020-05-14,warmińsko-mazurskie,200201_5.0024.AR_1.903/4,
"51.80302585094346, 20.774757482459762",2020-5-14,mazowieckie,140601_2.0025.16,
"51.75861873000672, 20.73689844773477",2020-04-27,mazowieckie,140602_2.0034.AR_1.14,Pomiędzy dwoma polami rzepaku
"51.73797218815092, 20.72154203890566",2020-04-27,mazowieckie,140607_5.0004.73/293,
"51.71859457246869, 20.692485683958388",2020-04-27,mazowieckie,140607_5.0011.152/1,
"51.69922002708962, 20.73707962124376",2020-04-27,mazowieckie,140607_5.0014.79/7,
"51.66602099233056, 20.74385216609649",2020-04-27,mazowieckie,140607_5.0028.218,
"51.66811628732673, 20.725744171914357",2020-04-27,mazowieckie,140607_5.0028.41,
"51.6711498289989, 20.74697234895879",2020-04-27,mazowieckie,140607_5.0028.217,
"51.67645314823891, 20.763824743890556",2020-04-27,mazowieckie,140607_5.0017.179/1,
"51.701647730082584, 20.774622464728356",2020-04-27,mazowieckie,140607_5.0013.13,
"54.76376534108749, 18.36635791622775",2020-05-30,pomorskie,221107_2.0008.AR_6.423,
"54.73783128863946, 18.36905351938047",2020-05-30,pomorskie,221107_2.0006.AR_2.219/1,
"54.74288385590393, 18.39150839406769",2020-05-30,pomorskie,221107_2.0006.AR_1.456/2,
"54.76008218777225, 18.39204372289115",2020-05-30,pomorskie,221107_2.0023.269/3,
"54.7712739016882, 18.403252385351625",2020-05-30,pomorskie,221107_2.0023.693/8,
"54.732466984037735, 18.3904079626909",2020-05-30,pomorskie,221107_2.0006.AR_2.559/5,
"54.72782480816262, 18.365809582414276",2020-05-30,pomorskie,221107_2.0015.AR_5.594/3,
"54.719835284955195, 18.355691203900196",2020-05-30,pomorskie,221107_2.0015.AR_3.182/3,
"54.712606944232604, 18.35133584277914",2020-05-30,pomorskie,221107_2.0015.AR_3.239/18,
"53.68079566715805, 14.551472965743102",2020-05-31,zachodnio-pomorskie,320407_5.0005.487/15,
"53.690469076262055, 14.56732905666477",2020-05-31,zachodnio-pomorskie,320407_5.0005.492/4,
"53.74292345565512, 14.561161023586939",2020-05-31,zachodnio-pomorskie,320407_5.0002.12/5,
"53.75302156287127, 14.591632853763164",2020-05-31,zachodnio-pomorskie,320407_5.0009.4,
"53.76245356123917, 14.61388232248279",2020-05-31,zachodnio-pomorskie,320407_5.0009.5,
"53.75803104863945, 14.638812631267603",2020-05-31,zachodnio-pomorskie,320407_5.0009.26/10,
"53.54238546126587, 14.709841010765356",2020-05-31,zachodnio-pomorskie,320402_5.0017.420/6,
"53.56642684885453, 14.693980186545096",2020-05-31,zachodnio-pomorskie,320402_5.0014.63/3,
"53.42601683103988, 14.67088647339729",2020-05-31,zachodnio-pomorskie,326201_1.4002.1/4,
"53.44386925644647, 14.709652791801664",2020-05-31,zachodnio-pomorskie,320402_5.0028.215/7,
