współrzędne,data sentinel,region,identyfikator działki,uwagi,,
"51.851296, 20.185202",2020-05-17,łódzkie,101507_2.0033.187,,,
"51.846549, 20.183986",2020-05-17,łódzkie,101507_2.0033.248,,,
"51.841394, 20.198399",2020-05-17,łódzkie,101507_2.0033.261,,,
"51.861189, 20.258306",2020-05-17,łódzkie,101507_2.0018.109,,,
"49.916580, 19.302749",2020-05-17,małopolskie,121304_5.0013.401,,,
"49.919536, 19.299499",2020-05-17,małopolskie,121304_5.0013.385,,,
"49.915744, 19.260547",2020-05-17,małopolskie,121304_5.0013.503/11,,,
"49.912441, 19.245816",2020-05-17,małopolskie,121304_5.0011.571,! case rozdrobnienia działek,,
"49.914034, 19.235599",2020-05-17,małopolskie,121304_5.0011.466,,,
"49.908453, 19.991767",2020-05-17,małopolskie,120906_2.0003.2761/2,,,0
"49.905345, 20.049845",2020-05-17,małopolskie,120901_5.0001.273/2,,,1
"49.936380, 20.168377",2020-05-17,małopolskie,121901_2.0004.563/2,,,2
"49.963046, 20.270317",2020-05-17,małopolskie,121902_2.0002.510/2,,,3
"49.947745, 20.260722",2020-05-17,małopolskie,121902_2.0002.729,,,4
"50.869354, 21.483436",2020-05-09,świętkorzyskie,260704_5.0010.16,,,5
"50.885613, 21.494233",2020-05-09,świętkorzyskie,260704_5.0003.1035,,,6
"50.068719, 22.293273",2020-05-19,podkarpackie,181004_2.0003.1471,,,7
"52.080364, 23.138795",2020-05-09,lubelskie,060103_2.0030.402/3,,,8
"52.068564, 23.126808",2020-05-09,lubelskie,060103_2.0002.283,,,9
"54.000586, 20.959148",2020-05-09,warmińsko-mazurskie,281408_2.0010.112/6,case rozdrobnionych działek,,10
"54.002282, 20.953044",2020-05-09,warmińsko-mazurskie,281408_2.0010.112/5,,,11
"53.996616, 20.952608",2020-05-09,warmińsko-mazurskie,281408_2.0010.116,,,12
"53.998774, 20.947487",2020-05-09,warmińsko-mazurskie,281408_2.0010.143,,,13
"54.00373, 20.98420",2020-05-09,warmińsko-mazurskie,281408_2.0002.84,,,14
"54.004033, 20.983288",2020-05-09,warmińsko-mazurskie,281408_2.0002.82/1,,,15
"54.00913973835796, 20.985302949698035",2020-05-09,warmińsko-mazurskie,281408_2.0002.214,,,16
"54.004862, 20.993369",2020-05-09,warmińsko-mazurskie,281408_2.0002.157,,,17
"54.010629, 20.985553",2020-05-09,warmińsko-mazurskie,281408_2.0002.159,,,18
"54.012044, 20.985033",2020-05-09,warmińsko-mazurskie,281408_2.0002.160,,,19
"54.018146, 20.983490",2020-05-09,warmińsko-mazurskie,281408_2.0006.52/2,,,20
"54.017138, 20.983100",2020-05-09,warmińsko-mazurskie,281408_2.0002.163/1,,,21
"51.15281062483644, 16.57250024441561",2019-05-11,dolnośląskie,021804_4.0008.AR_27.61,,,22
"51.15360530817153, 16.553019898570042",2019-05-11,dolnośląskie,021804_5.0016.181/2,,,23
"51.1394100947986, 16.52086434652933",2019-05-11,dolnośląskie,021804_5.0002.365/2,,,24
"51.12447556514206, 16.530009660306373",2019-05-11,dolnośląskie,021804_5.0002.196,,,25
