,id,latitude,longitude,date_from,date_to,xmin,ymin,xmax,ymax
0,240504_2.0005.AR_1.726/307,50.205773248396554,18.566558319656636,2020-04-10,2020-04-14,18.565406296221642,50.20511094602646,18.567423479455027,50.20699855407372
1,240504_2.0005.AR_11.151/27,50.20268524766594,18.561080258063363,2020-04-10,2020-04-14,18.55866385292959,50.202629158295174,18.561236302438736,50.204677507555104
2,240504_2.0006.AR_3.290/60,50.21257299922623,18.52189381020579,2020-04-10,2020-04-14,18.520310459890347,50.209151310203815,18.52371371274396,50.213715554348504
3,240506_5.0001.AR_11.41,50.215568946930524,18.48231060429019,2020-04-10,2020-04-14,18.472053584896393,50.21166056910827,18.476977962491443,50.215560622297716
5,241609_2.0006.AR_7.1091,50.570400976199466,19.48537509687917,2020-04-10,2020-04-14,19.481486464112876,50.56906156172998,19.500052560146937,50.57072608213045
6,241609_2.0008.AR_1.25,50.55865782132526,19.46632778481047,2020-04-10,2020-04-14,19.46442601605469,50.55816516627945,19.466563829563842,50.55927411917855
7,241604_2.0008.AR_3.336,50.571328178407015,19.525359943146647,2020-04-10,2020-04-14,19.52404903685518,50.57104584683285,19.528180153038964,50.57257067182558
8,241604_2.0008.AR_15.1854/6,50.56989059843099,19.53667005195245,2020-04-10,2020-04-14,19.535690144175554,50.568565041423064,19.5385627320563,50.57091480209253
9,240504_2.0007.AR_9.75/2,50.20172121774582,18.581408306999734,2020-04-10,2020-04-14,18.578947703212172,50.19992597907621,18.58543348667676,50.20380020105326
15,200203_2.0003.886,53.184867274474136,23.02600123048048,2020-05-12,2020-05-16,23.025059162540032,53.18388034876131,23.027600646309388,53.18495936108326
16,200203_2.0003.886,53.19350710744194,23.024155870415015,2020-05-12,2020-05-16,23.025059162540032,53.18388034876131,23.027600646309388,53.18495936108326
17,200203_2.0004.AR_1.15/1,53.20435586005427,23.04076410865452,2020-05-12,2020-05-16,23.0396660959515,53.20166713787791,23.0431498629404,53.20350441827488
18,200203_2.0004.AR_1.12/1,53.20715757979922,23.04108597379222,2020-05-12,2020-05-16,23.038220684775105,53.205447122723356,23.043436841929058,53.2077607064053
19,200201_4.0031.AR_4.93/1,53.157556940964206,22.958843197955133,2020-05-12,2020-05-16,22.958111997367183,53.15243160426746,22.968943881008745,53.15960142851708
20,200201_5.0024.AR_1.903/4,53.150058425831055,22.934466347091153,2020-05-12,2020-05-16,22.936211724572303,53.14605784083525,22.95510928427403,53.15441487773425
21,140601_2.0025.16,51.80302585094346,20.774757482459762,2020-05-12,2020-05-16,20.77156576509544,51.8005608754436,20.77965641258723,51.805110145825076
23,140607_5.0004.73/293,51.73797218815092,20.72154203890566,2020-04-25,2020-04-29,20.713314417201154,51.73321743681846,20.724041700902507,51.73859652978717
24,140607_5.0011.152/1,51.71859457246869,20.692485683958388,2020-04-25,2020-04-29,20.687277796023746,51.71629168855354,20.69521371634581,51.72361628575629
25,140607_5.0014.79/7,51.69922002708962,20.73707962124376,2020-04-25,2020-04-29,20.73232919000972,51.697395293310684,20.741284010277724,51.70171171700912
26,140607_5.0028.218,51.66602099233056,20.74385216609649,2020-04-25,2020-04-29,20.74153157311469,51.66402352258077,20.747238941089876,51.667618515999166
27,140607_5.0028.41,51.66811628732673,20.725744171914357,2020-04-25,2020-04-29,20.72034555224427,51.66720572712785,20.729300950792904,51.66838867814231
28,140607_5.0028.217,51.6711498289989,20.74697234895879,2020-04-25,2020-04-29,20.74504431657884,51.66997914931243,20.74925114537076,51.67308718563443
29,140607_5.0017.179/1,51.67645314823891,20.763824743890556,2020-04-25,2020-04-29,20.757298406495703,51.67422619237417,20.76672071002505,51.68127791535551
30,140607_5.0013.13,51.701647730082584,20.774622464728356,2020-04-25,2020-04-29,20.772840707631065,51.70060389075232,20.776644082957922,51.70263793092076
31,221107_2.0008.AR_6.423,54.76376534108749,18.36635791622775,2020-05-28,2020-06-01,18.34512250178293,54.75618398284386,18.373666126581476,54.76758387687762
32,221107_2.0006.AR_2.219/1,54.73783128863946,18.36905351938047,2020-05-28,2020-06-01,18.366601276177693,54.73706818670761,18.371747458257666,54.73915979488643
33,221107_2.0006.AR_1.456/2,54.74288385590393,18.39150839406769,2020-05-28,2020-06-01,18.388254626725026,54.74128849079816,18.395542182417266,54.74383723484373
34,221107_2.0023.269/3,54.76008218777225,18.39204372289115,2020-05-28,2020-06-01,18.37796489064044,54.75817184412196,18.396313792896255,54.762630040765494
35,221107_2.0023.693/8,54.7712739016882,18.403252385351625,2020-05-28,2020-06-01,18.40142362019743,54.769094536040235,18.406633176983842,54.77267103033071
36,221107_2.0006.AR_2.559/5,54.732466984037735,18.3904079626909,2020-05-28,2020-06-01,18.388839359244454,54.72839219615163,18.39349613109836,54.7339398574445
37,221107_2.0015.AR_5.594/3,54.72782480816262,18.365809582414276,2020-05-28,2020-06-01,18.360530431071233,54.72419796907417,18.37078569146383,54.7296271006461
38,221107_2.0015.AR_3.182/3,54.719835284955195,18.355691203900196,2020-05-28,2020-06-01,18.35343809517017,54.71776295848748,18.35925266170909,54.721407988326575
39,221107_2.0015.AR_3.239/18,54.712606944232604,18.35133584277914,2020-05-28,2020-06-01,18.343752782755416,54.709464877794325,18.35614247318198,54.715100894612156
40,320407_5.0005.487/15,53.68079566715805,14.551472965743102,2020-05-29,2020-06-02,14.548299881246583,53.675824763737914,14.558566832345246,53.68413407234384
41,320407_5.0005.492/4,53.690469076262055,14.56732905666477,2020-05-29,2020-06-02,14.560551074499422,53.68716347577327,14.571303280035611,53.69440317765251
42,320407_5.0002.12/5,53.74292345565512,14.561161023586939,2020-05-29,2020-06-02,14.555738434793565,53.73800852010742,14.570135246165355,53.75491847143201
43,320407_5.0009.4,53.75302156287127,14.591632853763164,2020-05-29,2020-06-02,14.587153191873362,53.749721754688075,14.622220072495518,53.76222085593515
44,320407_5.0009.5,53.76245356123917,14.61388232248279,2020-05-29,2020-06-02,14.60430670164181,53.75865405541199,14.622752988305749,53.763243704211135
45,320407_5.0009.26/10,53.75803104863945,14.638812631267603,2020-05-29,2020-06-02,14.621755201850467,53.75049378843039,14.660663315191972,53.76029061589183
47,320402_5.0014.63/3,53.56642684885453,14.693980186545096,2020-05-29,2020-06-02,14.6719633858614,53.55057966376078,14.702284488734627,53.56913206080881
49,320402_5.0028.215/7,53.44386925644647,14.709652791801664,2020-05-29,2020-06-02,14.705873328616315,53.43968322006172,14.724310790059118,53.4480757813251
